id,dice,iou
BraTS20_Training_151_axial_056,0.009733,0.004898
BraTS20_Training_151_axial_057,0.013504,0.006805
BraTS20_Training_151_axial_058,0.018399,0.009292
BraTS20_Training_151_axial_059,0.023509,0.011902
BraTS20_Training_151_axial_060,0.028414,0.014419
BraTS20_Training_151_axial_061,0.032085,0.016311
BraTS20_Training_151_axial_062,0.035889,0.018280
BraTS20_Training_151_axial_063,0.039620,0.020218
BraTS20_Training_151_axial_064,0.047271,0.024215
BraTS20_Training_151_axial_065,0.051046,0.026199
BraTS20_Training_151_axial_066,0.057602,0.029663
BraTS20_Training_151_axial_067,0.062483,0.032257
BraTS20_Training_151_axial_068,0.067796,0.035095
BraTS20_Training_151_axial_069,0.071946,0.037322
BraTS20_Training_151_axial_070,0.075512,0.039245
BraTS20_Training_151_axial_071,0.078925,0.041091
BraTS20_Training_151_axial_072,0.081119,0.042281
BraTS20_Training_151_axial_073,0.083952,0.043823
BraTS20_Training_151_axial_074,0.087447,0.045730
BraTS20_Training_151_axial_075,0.090512,0.047408
BraTS20_Training_151_axial_076,0.092984,0.048766
BraTS20_Training_151_axial_077,0.094758,0.049743
BraTS20_Training_151_axial_078,0.096584,0.050750
BraTS20_Training_151_axial_079,0.097772,0.051406
BraTS20_Training_151_axial_080,0.100942,0.053161
BraTS20_Training_151_axial_081,0.102591,0.054076
BraTS20_Training_151_axial_082,0.104868,0.055343
BraTS20_Training_151_axial_083,0.107194,0.056640
BraTS20_Training_151_axial_084,0.110305,0.058379
BraTS20_Training_151_axial_085,0.114681,0.060836
BraTS20_Training_151_axial_086,0.117470,0.062407
BraTS20_Training_151_axial_087,0.118389,0.062926
BraTS20_Training_151_axial_088,0.118362,0.062911
BraTS20_Training_151_axial_089,0.117173,0.062240
BraTS20_Training_151_axial_090,0.117065,0.062179
BraTS20_Training_151_axial_091,0.116903,0.062087
BraTS20_Training_151_axial_092,0.115603,0.061355
BraTS20_Training_151_axial_093,0.114275,0.060607
BraTS20_Training_151_axial_094,0.113569,0.060210
BraTS20_Training_151_axial_095,0.112183,0.059432
BraTS20_Training_151_axial_096,0.107030,0.056548
BraTS20_Training_151_axial_097,0.103717,0.054702
BraTS20_Training_151_axial_098,0.099813,0.052535
BraTS20_Training_151_axial_099,0.095561,0.050185
BraTS20_Training_151_axial_100,0.091763,0.048095
BraTS20_Training_151_axial_101,0.085324,0.044570
BraTS20_Training_151_axial_102,0.081709,0.042602
BraTS20_Training_151_axial_103,0.081288,0.042373
BraTS20_Training_151_axial_104,0.079685,0.041503
BraTS20_Training_151_axial_105,0.077658,0.040405
BraTS20_Training_151_axial_106,0.073617,0.038223
BraTS20_Training_151_axial_107,0.069646,0.036086
BraTS20_Training_151_axial_108,0.065457,0.033843
BraTS20_Training_151_axial_109,0.061423,0.031692
BraTS20_Training_151_axial_110,0.056421,0.029037
BraTS20_Training_151_axial_111,0.051828,0.026611
BraTS20_Training_151_axial_112,0.046427,0.023773
BraTS20_Training_151_axial_113,0.041845,0.021377
BraTS20_Training_151_axial_114,0.038123,0.019439
BraTS20_Training_151_axial_115,0.034770,0.017700
BraTS20_Training_151_axial_116,0.031405,0.015960
BraTS20_Training_151_axial_117,0.027494,0.013946
BraTS20_Training_151_axial_118,0.024402,0.012359
BraTS20_Training_151_axial_119,0.021719,0.010986
BraTS20_Training_151_axial_120,0.019267,0.009735
BraTS20_Training_151_axial_121,0.018249,0.009216
BraTS20_Training_151_axial_122,0.017230,0.008697
BraTS20_Training_151_axial_123,0.016420,0.008285
BraTS20_Training_151_axial_124,0.016120,0.008133
BraTS20_Training_151_axial_125,0.015128,0.007629
BraTS20_Training_151_axial_126,0.013985,0.007049
BraTS20_Training_151_axial_127,0.012811,0.006454
BraTS20_Training_151_axial_128,0.011243,0.005661
BraTS20_Training_151_axial_129,0.008614,0.004333
BraTS20_Training_151_axial_130,0.005008,0.002518
BraTS20_Training_151_axial_131,0.003975,0.001999
BraTS20_Training_151_axial_132,0.002667,0.001343
BraTS20_Training_151_axial_133,0.001296,0.000656
BraTS20_Training_151_axial_134,0.000076,0.000046
BraTS20_Training_186_axial_037,0.000930,0.000473
BraTS20_Training_186_axial_038,0.004491,0.002258
BraTS20_Training_186_axial_039,0.007010,0.003525
